company,location,total_laid_off,date,percentage_laid_off,industry,stage,funds_raised_USD,country
F-Secure,"Helsinki,Non-U.S.",70,2023-10-25,NULL,Security,Post-IPO,NULL,Finland
"Included Health","SF Bay Area",NULL,2022-07-25,0.06,Healthcare,"Series E",272,"United States"
&Open,"Dublin,Non-U.S.",9,2022-11-17,0.09,Marketing,"Series A",35,Ireland
#Paid,"Toronto,Non-U.S.",19,2023-01-27,0.17,Marketing,"Series B",21,Canada
"100 Thieves","Los Angeles",12,2022-07-13,NULL,Consumer,"Series C",120,"United States"
"10X Genomics","SF Bay Area",100,2022-08-04,0.08,Healthcare,Post-IPO,242,"United States"
"1K Kirana","Gurugram,Non-U.S.",600,2023-04-04,0.4,Retail,"Series B",NULL,India
1stdibs,"New York City",70,2020-04-02,0.17,Retail,"Series D",253,"United States"
23andMe,"SF Bay Area",71,2023-08-08,0.11,Healthcare,Post-IPO,1100,"United States"
23andMe,"SF Bay Area",75,2023-06-09,0.09,Healthcare,Post-IPO,1100,"United States"
23andMe,"SF Bay Area",200,2024-11-11,0.4,Healthcare,Post-IPO,1100,"United States"
2TM,"Sao Paulo,Non-U.S.",90,2022-06-01,0.12,Crypto,NULL,250,Brazil
2TM,"Sao Paulo,Non-U.S.",100,2022-09-01,0.15,Crypto,NULL,250,Brazil
2U,"Washington D.C.",NULL,2022-07-28,0.2,Education,Post-IPO,426,"United States"
54gene,"Washington D.C.",95,2022-08-29,0.3,Healthcare,"Series B",44,"United States"
"5B Solar","Sydney,Non-U.S.",NULL,2022-06-03,0.25,Energy,"Series A",12,Australia
6sense,"SF Bay Area",150,2022-10-12,0.1,Sales,"Series E",426,"United States"
7shifts,"Saskatoon,Non-U.S.",30,2023-09-15,0.07,Food,"Series C",131,Canada
7Shifts,"Saskatoon,Non-U.S.",68,2024-01-11,0.19,Food,"Series C",131,Canada
"80 Acres Farms",Cincinnati,NULL,2023-01-18,0.1,Food,NULL,275,"United States"
8x8,"SF Bay Area",155,2023-01-18,0.07,Support,Post-IPO,253,"United States"
8x8,"SF Bay Area",200,2022-10-04,0.09,Support,Post-IPO,253,"United States"
98point6,Seattle,NULL,2022-07-21,0.1,Healthcare,"Series E",247,"United States"
99,"Sao Paulo,Non-U.S.",75,2022-09-20,0.02,Transportation,Acquired,244,Brazil
Aakash,"New Delhi,Non-U.S.",80,2024-09-18,NULL,Education,Acquired,NULL,India
ABBYY,Nicosia,200,2024-10-01,NULL,Data,NULL,6,Cyprus
Abra,"SF Bay Area",12,2022-06-30,0.05,Crypto,"Series C",106,"United States"
Absci,Portland,30,2023-09-05,0.15,Healthcare,Post-IPO,238,"United States"
Absci,"Vancouver,Non-U.S.",40,2022-08-09,NULL,Healthcare,Post-IPO,237,Canada
"Absolute Software","Vancouver,Non-U.S.",40,2023-04-06,0.05,Security,Post-IPO,NULL,Canada
Acast,"Stockholm,Non-U.S.",70,2022-09-15,0.15,Media,Post-IPO,126,Sweden
Acko,"Mumbai,Non-U.S.",45,2020-04-01,0.09,Finance,NULL,143,India
Acorns,Portland,50,2020-05-26,NULL,Finance,NULL,207,"United States"
Actifio,Boston,54,2020-12-16,NULL,Data,Acquired,352,"United States"
ActiveCampaign,Chicago,NULL,2022-10-03,0.15,Marketing,"Series C",360,"United States"
ActiveFence,"Paris,Non-U.S.",22,2025-03-13,0.07,Security,"Series B",100,"United States"
Actyv.ai,"Bengaluru,Non-U.S.",NULL,2023-08-02,0.6,Finance,Seed,12,India
Acxiom,"Little Rock",130,2025-03-19,0.03,Marketing,Post-IPO,NULL,"United States"
